subject,run,family,sfreq,n_channels,duration_s,n_annotations,n_T0,n_T1,n_T2,other_labels,ch_names_hash,error
15,8,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
15,12,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
16,3,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
16,7,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
16,11,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
16,4,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
16,8,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
16,12,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
17,3,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
17,7,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
17,11,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
17,4,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
17,8,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
17,12,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
18,3,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
18,7,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
18,11,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
18,4,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
18,8,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
18,12,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
19,3,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
19,7,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
19,11,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
19,4,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
19,8,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
19,12,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
20,3,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
20,7,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
20,11,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
20,4,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
20,8,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
20,12,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
21,3,executed_lr,160.0,64,125.0,30,15,8,7,[],737393259880580152,
21,7,executed_lr,160.0,64,125.0,30,15,8,7,[],737393259880580152,
21,11,executed_lr,160.0,64,125.0,30,15,8,7,[],737393259880580152,
21,4,imagined_lr,160.0,64,125.0,30,15,8,7,[],737393259880580152,
21,8,imagined_lr,160.0,64,125.0,30,15,8,7,[],737393259880580152,
21,12,imagined_lr,160.0,64,125.0,30,15,8,7,[],737393259880580152,
22,3,executed_lr,160.0,64,125.0,30,15,7,8,[],737393259880580152,
22,7,executed_lr,160.0,64,125.0,30,15,8,7,[],737393259880580152,
22,11,executed_lr,160.0,64,125.0,30,15,8,7,[],737393259880580152,
22,4,imagined_lr,160.0,64,125.0,30,15,7,8,[],737393259880580152,
22,8,imagined_lr,160.0,64,125.0,30,15,8,7,[],737393259880580152,
22,12,imagined_lr,160.0,64,125.0,30,15,7,8,[],737393259880580152,
23,3,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
23,7,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
23,11,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
23,4,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
23,8,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
23,12,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
24,3,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
24,7,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
24,11,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
24,4,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
24,8,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
24,12,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
25,3,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
25,7,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
25,11,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
25,4,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
25,8,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
25,12,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
26,3,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
26,7,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
26,11,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
26,4,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
26,8,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
26,12,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
27,3,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
27,7,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
27,11,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
27,4,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
27,8,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
27,12,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
28,3,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
28,7,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
28,11,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
28,4,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
28,8,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
28,12,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
29,3,executed_lr,160.0,64,124.0,30,15,7,8,[],737393259880580152,
29,7,executed_lr,160.0,64,124.0,30,15,7,8,[],737393259880580152,
29,11,executed_lr,160.0,64,124.0,30,15,8,7,[],737393259880580152,
29,4,imagined_lr,160.0,64,124.0,30,15,8,7,[],737393259880580152,
29,8,imagined_lr,160.0,64,124.0,30,15,8,7,[],737393259880580152,
29,12,imagined_lr,160.0,64,124.0,30,15,7,8,[],737393259880580152,
30,3,executed_lr,160.0,64,124.0,30,15,7,8,[],737393259880580152,
30,7,executed_lr,160.0,64,124.0,30,15,8,7,[],737393259880580152,
30,11,executed_lr,160.0,64,124.0,30,15,7,8,[],737393259880580152,
30,4,imagined_lr,160.0,64,124.0,30,15,8,7,[],737393259880580152,
30,8,imagined_lr,160.0,64,124.0,30,15,8,7,[],737393259880580152,
30,12,imagined_lr,160.0,64,124.0,30,15,8,7,[],737393259880580152,
31,3,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
31,7,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
31,11,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
31,4,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
31,8,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
31,12,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
32,3,executed_lr,160.0,64,125.0,30,15,8,7,[],737393259880580152,
32,7,executed_lr,160.0,64,125.0,30,15,8,7,[],737393259880580152,
32,11,executed_lr,160.0,64,125.0,30,15,7,8,[],737393259880580152,
32,4,imagined_lr,160.0,64,125.0,30,15,7,8,[],737393259880580152,
32,8,imagined_lr,160.0,64,125.0,30,15,7,8,[],737393259880580152,
32,12,imagined_lr,160.0,64,125.0,30,15,7,8,[],737393259880580152,
33,3,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
33,7,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
33,11,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
33,4,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
33,8,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
33,12,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
34,3,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
34,7,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
34,11,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
34,4,imagined_lr,160.0,64,124.0,30,15,7,8,[],737393259880580152,
34,8,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
34,12,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
35,3,executed_lr,160.0,64,125.0,30,15,7,8,[],737393259880580152,
35,7,executed_lr,160.0,64,125.0,30,15,7,8,[],737393259880580152,
35,11,executed_lr,160.0,64,125.0,30,15,7,8,[],737393259880580152,
35,4,imagined_lr,160.0,64,125.0,30,15,8,7,[],737393259880580152,
35,8,imagined_lr,160.0,64,125.0,30,15,7,8,[],737393259880580152,
35,12,imagined_lr,160.0,64,125.0,30,15,7,8,[],737393259880580152,
36,3,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
36,7,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
36,11,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
36,4,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
36,8,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
36,12,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
37,3,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
37,7,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
37,11,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
37,4,imagined_lr,160.0,64,124.0,30,15,8,7,[],737393259880580152,
37,8,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
37,12,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
38,3,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
38,7,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
38,11,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
38,4,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
38,8,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
38,12,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
39,3,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
39,7,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
39,11,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
39,4,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
39,8,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
39,12,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
40,3,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
40,7,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
40,11,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
40,4,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
40,8,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
40,12,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
41,3,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
41,7,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
41,11,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
41,4,imagined_lr,160.0,64,124.0,30,15,8,7,[],737393259880580152,
41,8,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
41,12,imagined_lr,160.0,64,124.0,30,15,8,7,[],737393259880580152,
42,3,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
42,7,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
42,11,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
42,4,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
42,8,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
42,12,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
43,3,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
43,7,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
43,11,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
43,4,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
43,8,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
43,12,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
44,3,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
44,7,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
44,11,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
44,4,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
44,8,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
44,12,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
45,3,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
45,7,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
45,11,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
45,4,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
45,8,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
45,12,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
46,3,executed_lr,160.0,64,125.0,30,15,7,8,[],737393259880580152,
46,7,executed_lr,160.0,64,125.0,30,15,8,7,[],737393259880580152,
46,11,executed_lr,160.0,64,125.0,30,15,7,8,[],737393259880580152,
46,4,imagined_lr,160.0,64,125.0,30,15,8,7,[],737393259880580152,
46,8,imagined_lr,160.0,64,125.0,30,15,7,8,[],737393259880580152,
46,12,imagined_lr,160.0,64,125.0,30,15,8,7,[],737393259880580152,
47,3,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
47,7,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
47,11,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
47,4,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
47,8,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
47,12,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
48,3,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
48,7,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
48,11,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
48,4,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
48,8,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
48,12,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
49,3,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
49,7,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
49,11,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
49,4,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
49,8,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
49,12,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
50,3,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
50,7,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
50,11,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
50,4,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
50,8,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
50,12,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
51,3,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
51,7,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
51,11,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
51,4,imagined_lr,160.0,64,124.0,30,15,8,7,[],737393259880580152,
51,8,imagined_lr,160.0,64,124.0,30,15,8,7,[],737393259880580152,
51,12,imagined_lr,160.0,64,124.0,30,15,8,7,[],737393259880580152,
52,3,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
52,7,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
52,11,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
52,4,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
52,8,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
52,12,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
53,3,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
53,7,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
53,11,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
53,4,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
53,8,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
53,12,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
54,3,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
54,7,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
54,11,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
54,4,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
54,8,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
54,12,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
55,3,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
55,7,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
55,11,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
55,4,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
55,8,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
55,12,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
56,3,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
56,7,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
56,11,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
56,4,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
56,8,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
56,12,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
57,3,executed_lr,160.0,64,125.0,30,15,8,7,[],737393259880580152,
57,7,executed_lr,160.0,64,125.0,30,15,8,7,[],737393259880580152,
57,11,executed_lr,160.0,64,125.0,30,15,8,7,[],737393259880580152,
57,4,imagined_lr,160.0,64,125.0,30,15,8,7,[],737393259880580152,
57,8,imagined_lr,160.0,64,125.0,30,15,8,7,[],737393259880580152,
57,12,imagined_lr,160.0,64,125.0,30,15,8,7,[],737393259880580152,
58,3,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
58,7,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
58,11,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
58,4,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
58,8,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
58,12,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
59,3,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
59,7,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
59,11,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
59,4,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
59,8,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
59,12,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
60,3,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
60,7,executed_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
60,11,executed_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
60,4,imagined_lr,160.0,64,123.0,30,15,7,8,[],737393259880580152,
60,8,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
60,12,imagined_lr,160.0,64,123.0,30,15,8,7,[],737393259880580152,
