subject,n,acc,auc,chance_95
66,45,0.42193675889328064,0.4446640316205534,0.6444444444444445
67,45,0.5,0.6403162055335968,0.6444444444444445
68,45,0.5395256916996047,0.6798418972332015,0.6444444444444445
69,45,0.5625,0.7023809523809523,0.6444444444444445
70,45,0.7351778656126482,0.8735177865612648,0.6444444444444445
71,45,0.8260869565217391,0.9150197628458498,0.6444444444444445
72,45,0.9110671936758893,0.9782608695652174,0.6444444444444445
73,45,0.6877470355731226,0.8063241106719368,0.6444444444444445
74,45,0.5208333333333334,0.5337301587301587,0.6444444444444445
75,45,0.7391304347826086,0.8972332015810277,0.6444444444444445
76,45,0.5434782608695652,0.5553359683794465,0.6444444444444445
77,45,0.6071428571428572,0.7043650793650794,0.6444444444444445
78,45,0.49604743083003955,0.5849802371541502,0.6444444444444445
79,45,0.5434782608695652,0.6343873517786561,0.6444444444444445
80,45,0.5158102766798419,0.6047430830039525,0.6444444444444445
81,45,0.5,0.8478260869565217,0.6444444444444445
82,45,0.5217391304347826,0.6778656126482214,0.6444444444444445
83,45,0.6067193675889329,0.7944664031620554,0.6444444444444445
84,45,0.5395256916996047,0.6857707509881423,0.6444444444444445
85,45,0.8685770750988142,0.9881422924901185,0.6444444444444445
86,45,0.6027667984189724,0.6699604743083004,0.6444444444444445
87,45,0.5237154150197628,0.5810276679841897,0.6444444444444445
89,45,0.6488095238095237,0.746031746031746,0.6444444444444445
90,45,0.5019762845849802,0.6897233201581028,0.6444444444444445
91,45,0.7579051383399209,0.816205533596838,0.6444444444444445
93,45,0.7786561264822134,0.9150197628458498,0.6444444444444445
94,45,0.7727272727272727,0.958498023715415,0.6444444444444445
95,45,0.49703557312252966,0.6324110671936759,0.6444444444444445
96,45,0.592885375494071,0.6541501976284585,0.6444444444444445
97,45,0.4782608695652174,0.6363636363636364,0.6444444444444445
98,45,0.4654150197628458,0.4466403162055336,0.6444444444444445
99,45,0.5553359683794465,0.5434782608695652,0.6444444444444445
101,45,0.4486166007905138,0.47430830039525695,0.6444444444444445
102,45,0.6047430830039526,0.7569169960474309,0.6444444444444445
103,45,0.6946640316205533,0.8359683794466404,0.6444444444444445
104,30,0.5666666666666667,0.6044444444444445,0.6666666666666666
105,45,0.5,0.5118577075098814,0.6444444444444445
106,45,0.5773809523809523,0.6865079365079365,0.6444444444444445
107,45,0.5684523809523809,0.6825396825396826,0.6444444444444445
108,45,0.8448616600790514,0.932806324110672,0.6444444444444445
109,45,0.5,0.541501976284585,0.6444444444444445
